----------run:0-------
Generation      Evaluations        Average Fitness   Best Fitness   Mutation Rate
Generation      Evaluations        Average Fitness   Best Fitness   Mutation Rate
0               200                -103.781          -33             0.2            
1               300                -80.917           -28             0.7899322362052275
2               400                -71.829           -28             0.649561107359892
3               500                -65.487           -27             0.6208609271523179
4               600                -60.886           -27             0.6107954545454546
5               700                -58.284           -27             0.6087431693989072
6               800                -55.493           -27             0.6045977011494253
7               900                -53.542           -27             0.6061728395061728
8               1000               -51.639           -27             0.6156862745098038
9               1100               -50.372           -27             0.6358543417366946
10              1200               -49.247           -27             0.6283185840707965
11              1300               -48.137           -27             0.6334841628959276
12              1400               -46.937           -27             0.6434108527131783
13              1500               -45.793           -27             0.6602564102564104
14              1600               -44.925           -27             0.67816091954023
15              1700               -44.035           -24.8           0.6804123711340205
16              1800               -43.18            -16             0.6621621621621622
17              1900               -42.745           -16             0.5729323308270677
18              2000               -42.247           -16             0.5696784073506892
----------run:13-------
Generation      Evaluations        Average Fitness   Best Fitness   Mutation Rate
0               200                -102.672          -32.2           0.2            
1               300                -76.82000000000001 -29.2           0.8088549618320611
2               400                -69.861           -29.2           0.6657243816254416
3               500                -65.197           -29.2           0.6406518010291595
4               600                -59.751           -26.2           0.6377097729516289
5               700                -57.217           -26.2           0.638771186440678
6               800                -54.632           -26.2           0.632          
7               900                -53.017           -26.2           0.6266996291718171
8               1000               -51.591           -26.2           0.6105960264900662
9               1100               -50.0             -26.2           0.6028169014084507
10              1200               -47.907           -11             0.6248153618906943
11              1300               -46.62            -11             0.5138190954773869
12              1400               -46.101           -11             0.5065274151436031
13              1500               -45.238           -11             0.506631299734748
14              1600               -44.419           -11             0.5061391541609823
15              1700               -44.153           -11             0.514442916093535
16              1800               -43.462           -11             0.5187239944521498
17              1900               -42.829           -11             0.5176304654442877
18              2000               -42.379           -11             0.5220483641536273
----------run:14-------
Generation      Evaluations        Average Fitness   Best Fitness   Mutation Rate
0               200                -105.396          -23             0.2            
1               300                -79.582           -22             0.7629810629199756
2               400                -69.02            -22             0.6231699554423934
3               500                -63.684           -22             0.5996822875297855
4               600                -60.188           -22             0.592007434944238
5               700                -57.45            -22             0.5890132248219736
6               800                -54.81            -22             0.597860962566845
7               900                -52.341           -21             0.6004618937644342
8               1000               -50.395           -21             0.5897435897435896
9               1100               -48.671           -21             0.6007751937984496
10              1200               -47.351           -21             0.5964912280701754
11              1300               -46.09            -21             0.5957446808510638
12              1400               -45.168           -21             0.6047197640117995
13              1500               -44.191           -21             0.6075757575757577
14              1600               -43.926           -21             0.6063492063492064
15              1700               -43.211           -21             0.6025641025641026
16              1800               -42.605           -21             0.6097560975609756
17              1900               -41.982           -21             0.615          
18              2000               -40.976           -21             0.6136752136752136
----------run:15-------
Generation      Evaluations        Average Fitness   Best Fitness   Mutation Rate
0               200                -104.42999999999999 -23.2           0.2            
1               300                -77.868           -23.2           0.7672994488671157
2               400                -67.06099999999999 -23.2           0.6499682942295497
3               500                -61.235           -23.2           0.6236647493837304
4               600                -56.811           -11.6           0.6051625239005737
5               700                -54.331           -11.6           0.5447545717035611
6               800                -51.554           -11.6           0.5317377731529656
7               900                -49.742           -11.6           0.5465498357064622
8               1000               -47.979           -11.6           0.5454545454545454
9               1100               -47.103           -11.6           0.5362663495838287
10              1200               -46.516           -11.6           0.5363748458692971
11              1300               -45.33            -11.6           0.5334174022698612
12              1400               -44.97            -11.6           0.5231175693527081
13              1500               -44.072           -11.6           0.523680649526387
14              1600               -43.288           -11.6           0.5280898876404494
15              1700               -42.996           -11.6           0.5334281650071123
16              1800               -42.619           -11.6           0.5351506456241033
17              1900               -41.779           -11.6           0.5249266862170089
18              2000               -41.285           -11.6           0.5328358208955224
----------run:16-------
Generation      Evaluations        Average Fitness   Best Fitness   Mutation Rate
0               200                -104.379          -31.2           0.2            
1               300                -76.2             -31.2           0.7778891115564461
2               400                -65.828           -28.6           0.6863945578231292
3               500                -60.362           -28.6           0.6716157205240175
4               600                -56.453           -28.6           0.6549948506694129
5               700                -54.002           -28.6           0.6742596810933941
6               800                -50.818           -15.6           0.6649746192893401
7               900                -49.403999999999996 -15.6           0.5653710247349824
8               1000               -48.15            -15.6           0.5493133583021222
9               1100               -47.235           -15.6           0.5555555555555556
10              1200               -46.063           -15.6           0.5586666666666666
11              1300               -45.48            -15.6           0.5546334716459198
12              1400               -44.455           -15.6           0.5507246376811593
13              1500               -43.866           -15.6           0.5446428571428571
14              1600               -43.644           -15.6           0.5424242424242424
15              1700               -43.042           -15.6           0.5412844036697247
16              1800               -42.531           -15.6           0.5432098765432098
17              1900               -41.784           -15.6           0.5440251572327043
18              2000               -41.24            -15.6           0.5432692307692308
----------run:17-------
Generation      Evaluations        Average Fitness   Best Fitness   Mutation Rate
0               200                -101.038          -26             0.2            
1               300                -76.784           -22             0.7938209331651955
2               400                -67.258           -22             0.606602475928473
3               500                -62.591           -22             0.6093617021276596
4               600                -58.613           -22             0.6079170593779455
5               700                -56.063           -22             0.5995762711864406
6               800                -54.341           -22             0.5871559633027522
7               900                -52.606           -22             0.5754601226993865
8               1000               -51.168           -22             0.5682989690721649
9               1100               -50.309           -22             0.578734858681023
10              1200               -48.686           -22             0.5799721835883171
11              1300               -47.538           -22             0.5921625544267053
12              1400               -46.136           -22             0.5898203592814372
