----------run:0-------
Generation      Evaluations        Average Fitness   Best Fitness   Avg Mutation Rate
1               300                -78.834           -23             0.19104183786986
2               400                -67.708           -23             0.19846480523820348
3               500                -63.033           -23             0.1964962575663375
4               600                -58.908           -23             0.19896017972722244
5               700                -55.476           -23             0.20037364167070146
6               800                -52.862           -23             0.2005179112243392
7               900                -50.77            -23             0.20073344242363164
8               1000               -48.952           -23             0.19940650350117345
9               1100               -47.465           -15.8           0.19890009528216598
10              1200               -45.852           -15.8           0.20132452779184437
11              1300               -45.13            -15.8           0.2014748114191859
12              1400               -44.549           -15.8           0.20026799141284735
13              1500               -43.957           -15.8           0.20125904272471337
14              1600               -43.085           -15.8           0.20251791285844017
15              1700               -41.562           -14             0.2000619520509523
16              1800               -40.948           -14             0.20034045067557915
17              1900               -40.679           -14             0.20141808279951223
18              2000               -39.864           -14             0.20243901998848354
----------run:22-------
Generation      Evaluations        Average Fitness   Best Fitness   Avg Mutation Rate
0               200                -99.771           -26             0.20363743361487208
1               300                -73.477           -26             0.20653904714948193
2               400                -63.643           -26             0.2075416435832083
3               500                -59.903           -24.2           0.2024504527928801
4               600                -56.001           -24.2           0.20036332353139774
5               700                -52.644           -20             0.197546813836891
6               800                -50.253           -20             0.19725381505090364
7               900                -48.698           -20             0.19897382839159786
8               1000               -46.751           -18             0.1968545255759009
9               1100               -45.783           -18             0.19532996804623898
10              1200               -44.883           -18             0.19615014247199325
11              1300               -44.099           -18             0.19835509102545007
12              1400               -43.229           -18             0.19717916685949988
13              1500               -42.774           -18             0.19726797571899365
14              1600               -42.28            -18             0.19785916845329476
15              1700               -41.747           -18             0.19787060608726778
16              1800               -41.059           -18             0.19713999794685855
17              1900               -40.296           -18             0.19756127479290236
18              2000               -39.394           -18             0.19841380238985773
----------run:23-------
Generation      Evaluations        Average Fitness   Best Fitness   Avg Mutation Rate
0               200                -104.404          -35.6           0.19473176046844856
1               300                -80.024           -26.6           0.19185038657698053
2               400                -68.837           -18             0.19540199948870987
3               500                -61.92            -18             0.19475999881002487
4               600                -58.609           -11             0.19585502869020616
5               700                -55.482           -11             0.19909902899622986
6               800                -52.878           -11             0.19796087024577866
7               900                -50.684           -11             0.19912195538077868
8               1000               -49.641           -11             0.19745929052492178
9               1100               -47.929           -11             0.1987705973776638
10              1200               -46.773           -11             0.20011246270443128
11              1300               -45.57            -11             0.19938092322312737
12              1400               -44.806           -11             0.1987612473463375
13              1500               -43.949           -11             0.19879641270692525
14              1600               -42.893           -11             0.1995037129695541
15              1700               -42.335           -11             0.2000375268846786
16              1800               -41.668           -11             0.19790139962390416
17              1900               -40.873           -11             0.19544219809873725
18              2000               -40.375           -11             0.19453138459614172
----------run:24-------
Generation      Evaluations        Average Fitness   Best Fitness   Avg Mutation Rate
0               200                -101.597          -20.8           0.20121964045277146
1               300                -77.499           -20.8           0.19479485826034637
2               400                -66.31400000000001 -20.8           0.19847594129314694
3               500                -61.061           -19.8           0.19793423827157808
4               600                -56.53            -19.8           0.19159113319889484
5               700                -53.565           -19.8           0.19154045519850504
6               800                -51.315           -14             0.19286933732137435
7               900                -50.507           -14             0.19186555157044755
8               1000               -49.211           -14             0.19319703552862838
9               1100               -47.802           -14             0.1897217219125356
10              1200               -46.43            -14             0.18720626130365517
11              1300               -45.162           -14             0.18566015504166625
12              1400               -44.385           -14             0.1861388233930847
13              1500               -43.43            -14             0.19178918997681044
14              1600               -42.81            -14             0.19252557320716393
15              1700               -42.148           -14             0.19408127844321682
16              1800               -41.793           -14             0.19392011455076186
17              1900               -41.092           -14             0.19610584427099384
18              2000               -40.567           -14             0.19625790925514863
----------run:25-------
Generation      Evaluations        Average Fitness   Best Fitness   Avg Mutation Rate
0               200                -104.888          -29             0.2063855601043829
1               300                -76.152           -15.2           0.21284838066722825
2               400                -66.628           -15.2           0.20252787460447
3               500                -59.981           -15.2           0.2019977795075114
4               600                -56.547           -15.2           0.20625184545719435
5               700                -54.329           -15.2           0.2028867908214481
6               800                -52.949           -15.2           0.20253159896687456
7               900                -51.046           -15.2           0.20473159589245898
8               1000               -49.013           -15.2           0.20468579493233388
9               1100               -48.311           -15.2           0.20422820242205564
10              1200               -46.953           -15.2           0.20372088478799366
11              1300               -45.486           -15.2           0.20548827590224916
12              1400               -43.703           -15.2           0.20565022004238287
13              1500               -42.917           -15.2           0.20651808756871368
14              1600               -42.019           -15.2           0.20429885200017792
15              1700               -41.519           -15.2           0.20451272351244146
16              1800               -40.567           -15.2           0.20468776525904556
17              1900               -39.857           -15.2           0.20292697078628968
18              2000               -39.627           -15.2           0.20199514413884528
----------run:26-------
Generation      Evaluations        Average Fitness   Best Fitness   Avg Mutation Rate
0               200                -103.563          -6              0.2061816658870509
1               300                -78.156           -6              0.20778495691210108
2               400                -67.59            -6              0.20422737250874604
3               500                -61.363           -6              0.20381567111208668
4               600                -55.798           -6              0.20291454149163388
5               700                -52.909           -6              0.1999742935406044
6               800                -50.64            -6              0.20346035619995267
7               900                -48.68            -6              0.20433353101716262
8               1000               -47.034           -6              0.20168292722001158
9               1100               -45.428           -6              0.20464358185385817
10              1200               -44.326           -6              0.20478851049734634
11              1300               -43.598           -6              0.20282072726931655
12              1400               -42.609           -6              0.20287444123971168
13              1500               -41.991           -6              0.20146713935509336
14              1600               -41.45            -6              0.20262010158516489
15              1700               -40.464           -6              0.2014859245408513
16              1800               -39.965           -6              0.20063980199596546
17              1900               -39.353           -6              0.20232558091015368
18              2000               -38.257           -6              0.20535166547755937
----------run:27-------
Generation      Evaluations        Average Fitness   Best Fitness   Avg Mutation Rate
0               200                -105.458          -23             0.20151710956198826
1               300                -79.154           -23             0.1999393271351424
2               400                -69.273           -23             0.19886484020111594
3               500                -62.454           -23             0.19719025119255537
4               600                -56.967999999999996 -23             0.19488914495786755
5               700                -53.619           -23             0.19230420818025493
6               800                -51.866           -23             0.1938613922932076
7               900                -50.679           -23             0.19458403393725282
8               1000               -49.543           -23             0.19324192827294973
9               1100               -48.535           -23             0.19260694127493205
10              1200               -47.564           -23             0.18919245285794592
11              1300               -46.688           -23             0.19290072887480772
12              1400               -45.711           -23             0.19297584963429235
13              1500               -44.634           -17.6           0.193804086395268
14              1600               -43.739           -17.6           0.19290575077454045
15              1700               -43.057           -17.6           0.19379199846556924
16              1800               -42.431           -17.6           0.19499872908162638
17              1900               -41.775           -17.6           0.1939556675936887
18              2000               -41.37            -17.6           0.19545923581669683
----------run:28-------
Generation      Evaluations        Average Fitness   Best Fitness   Avg Mutation Rate
0               200                -99.473           -25.6           0.2021483589723813
1               300                -72.726           -23.6           0.2020484227231781
2               400                -64.321           -23.6           0.2049322942529189
3               500                -59.946           -23.6           0.206363414899091
4               600                -56.051           -23.6           0.20711034477013573
5               700                -54.368           -20.6           0.20594456399153774
6               800                -52.856           -20.6           0.20630759151944011
7               900                -51.263           -20.6           0.2054530662474324
8               1000               -50.021           -20.6           0.20551453335399703
9               1100               -48.691           -18.2           0.20501840498375537
10              1200               -47.566           -18.2           0.2045727908649615
11              1300               -46.287           -18.2           0.20136323923533347
12              1400               -45.616           -18.2           0.20079710351357427
13              1500               -44.521           -18.2           0.20001679698224806
14              1600               -43.598           -18.2           0.19967128436501025
15              1700               -42.442           -18.2           0.19811501752572977
16              1800               -41.834           -18.2           0.19924046427719883
